base_line: 0285
acore: XCU_A_XAP-release-APP7.1.66-BSP1.10.10-rc30.20240821-425
vin: HLX33B122P1151016
mdc_version: v2.0.0
project_info: project_code:deviation-detect,strategy_code:deviation-info,version:20240830155442
timestamp,EPS_StrgAng,EPS_StrgAngValid,EPS_StrgAngSpeed,EPS_StrgWhlToq,EPS_StrgWhlToqValid,ACULongdAcc,ACULatAcc,ACUYawRate,ACULongdSnsrState,ACULatSnsrState,ACUYawRateSnsrSta,FLWhlSpd,FRWhlSpd,RLWhlSpd,RRWhlSpd,FLWhlSpdValid,FRWhlSpdValid,RLWhlSpdValid,RRWhlSpdValid,VehSpd,VehSpdValid,FLTirePrsVal,FRTirePrsVal,RLTirePrsVal,RRTirePrsVal,INS_Status,INS_Car_Status,INS_Std_Lon,INS_Std_LocatHeight,INS_Std_Heading,INS_GpsFlag_Pos,INS_ConStatus,INS_NumSV,INS_Odom_X_Pos,INS_Odom_Y_Pos,INS_Odom_Z_Pos,INS_DeviationAngle,INS_FusionSignal,INS_Odom_Spd,GNSS_AntSts,INS_PitchAngle,INS_RollAngle,INS_HeadingAngle,INS_LocatHeight,INS_Latitude,INS_Longitude,INS_NorthSpd,INS_EastSpd,INS_ToGroundSpd,INS_Std_Lat

2024-08-30 16:57:32.943 -4.30000019,0,0,-0.0799999982,0,-0.0055999998,0.0236000009,0.0500000007,1,1,1,0,0,0,0,0,0,0,0,0,0,261.25,258.5,261.25,255.75,2,1,0.00400000019,0.00200000009,0.439999998,11,1,20,-772.58197,-99.8669968,38.0839996,81.1500015,3,0.00115729996,0,-0.0766680017,1.47235799,-88.4700241,41.5359993,40.1687925,116.583567,0.00115729996,0.00115729996,0.00420900015,0.00200000009,
2024-08-30 16:57:32.955 -4.30000019,0,0,-0.0799999982,0,-0.0074,0.0238000005,0.0199999996,1,1,1,0,0,0,0,0,0,0,0,0,0,261.25,258.5,261.25,255.75,2,1,0.00400000019,0.00200000009,0.439999998,11,1,20,-772.58197,-99.8669968,38.0839996,81.1500015,3,0.00115729996,0,-0.0766680017,1.47235799,-88.4700241,41.5359993,40.1687925,116.583567,0.00115729996,0.00115729996,0.00420900015,0.00200000009,
2024-08-30 16:57:32.966 -4.30000019,0,0,-0.0799999982,0,-0.0074,0.0238000005,0.0199999996,1,1,1,0,0,0,0,0,0,0,0,0,0,261.25,258.5,261.25,255.75,2,1,0.00400000019,0.00200000009,0.439999998,11,1,20,-772.58197,-99.8669968,38.0839996,-90.75,3,0.00115729996,0,-0.0766680017,1.47235799,-88.4700241,41.5359993,40.1687925,116.583567,-0.00189439999,0.00115729996,0.00115729996,0.00200000009,
2024-08-30 16:57:32.978 -4.30000019,0,0,-0.0799999982,0,-0.00620000018,0.0255999994,-0.00999999978,1,1,1,0,0,0,0,0,0,0,0,0,0,261.25,258.5,261.25,255.75,2,1,0.00400000019,0.00200000009,0.439999998,11,1,20,-772.58197,-99.8669968,38.0839996,83.5500031,3,0.00115729996,0,-0.0766680017,1.47235799,-88.4700241,41.5359993,40.1687925,116.583567,0.00115729996,0.00115729996,0.00115729996,0.00200000009,
2024-08-30 16:57:32.993 -4.30000019,0,0,-0.0799999982,0,-0.00620000018,0.0255999994,-0.00999999978,1,1,1,0,0,0,0,0,0,0,0,0,0,261.25,258.5,261.25,255.75,2,1,0.00400000019,0.00200000009,0.439999998,11,1,20,-772.58197,-99.8669968,38.0839996,86.25,3,0.00115729996,0,-0.0766680017,1.47235799,-88.4700241,41.5359993,40.1687925,116.583567,0.00115729996,0.00115729996,-0.00189439999,0.00200000009,
2024-08-30 16:57:33.004 -4.30000019,0,0,-0.0799999982,0,-0.00760000013,0.0238000005,0.00999999978,1,1,1,0,0,0,0,0,0,0,0,0,0,261.25,258.5,261.25,255.75,2,1,0.00400000019,0.00200000009,0.439999998,11,1,20,-772.58197,-99.8669968,38.0839996,86.25,3,0.00115729996,0,-0.0766680017,1.47235799,-88.4700241,41.5359993,40.1687925,116.583567,0.00115729996,0.00115729996,-0.00189439999,0.00200000009,
2024-08-30 16:57:33.015 -4.30000019,0,0,-0.0799999982,0,-0.00760000013,0.0238000005,0.00999999978,1,1,1,0,0,0,0,0,0,0,0,0,0,261.25,258.5,261.25,255.75,2,1,0.00400000019,0.00200000009,0.439999998,11,1,20,-772.58197,-99.8669968,38.0839996,119.099998,3,0.00115729996,0,-0.0766680017,1.48334396,-88.4700241,41.5359993,40.1687925,116.583567,0.00115729996,0.00115729996,-0.00494610006,0.00200000009,
2024-08-30 16:57:33.026 -4.30000019,0,0,-0.0799999982,0,-0.00620000018,0.023,0.0299999993,1,1,1,0,0,0,0,0,0,0,0,0,0,261.25,258.5,261.25,255.75,2,1,0.00400000019,0.00200000009,0.439999998,11,1,20,-772.58197,-99.8669968,38.0839996,-89.25,3,0.00115729996,0,-0.087654002,1.47235799,-88.4700241,41.5359993,40.1687925,116.583567,-0.00189439999,0.00115729996,-0.00189439999,0.00200000009,
2024-08-30 16:57:33.037 -4.30000019,0,0,-0.0799999982,0,-0.00439999998,0.0231999997,-0.00999999978,1,1,1,0,0,0,0,0,0,0,0,0,0,261.25,258.5,261.25,255.75,2,1,0.00400000019,0.00200000009,0.439999998,11,1,20,-772.58197,-99.8669968,38.0839996,-89.25,3,0.00115729996,0,-0.087654002,1.47235799,-88.4700241,41.5359993,40.1687925,116.583567,0.00115729996,0.00115729996,-0.00189439999,0.00200000009,
